Time (s),Channel 1 (V),Channel 2 (V)
-0.004937946428571429,-0.8868932041426922,0.01987667508728431
-0.004936696428571428,-0.8827554286910708,0.02089769547014966
-0.004935446428571428,-0.8768935801346077,0.02430109674636157
-0.004934196428571428,-0.8724109900620219,0.02600279738446636
-0.004932946428571428,-0.8668939561265291,0.02974653878829861
-0.004931696428571429,-0.8620665514329729,0.03110789929878306
-0.004930446428571428,-0.8568943321184485,0.03314994006450974
-0.004929196428571429,-0.8534461859087671,0.03655334134071932
-0.004927946428571428,-0.8472395227313361,0.03859538210644755
-0.004926696428571428,-0.8424121180377779,0.04165844325503865
-0.004925446428571428,-0.837929527965192,0.04404082414838537
-0.004924196428571428,-0.8299987916829193,0.04608286491411359
-0.004922946428571428,-0.8258610162313016,0.04948626619032317
-0.004921696428571428,-0.8189647238119356,0.05050728657318651
-0.004920446428571429,-0.8148269483603161,0.05323000759415542
-0.004919196428571428,-0.8082754705619184,0.05561238848750321
-0.004917946428571429,-0.8017239927635237,0.05765442925322896
-0.004916696428571428,-0.7962069588280279,0.05969647001895657
-0.004915446428571428,-0.7903451102715642,0.06173851078468433
-0.004914196428571428,-0.7844832617151059,0.06412089167803103
-0.004912946428571428,-0.7772421546747688,0.06650327257137992
-0.004911696428571428,-0.7710354914973422,0.06888565346472664
-0.004910446428571428,-0.7651736429408811,0.07092769423045331
-0.004909196428571429,-0.7589669797634545,0.07399075537904193
-0.004907946428571428,-0.7520706873440858,0.07535211588952778
-0.004906696428571429,-0.7468984680295636,0.0777344967828745
-0.004905446428571428,-0.7396573609892271,0.07875551716573892
-0.004904196428571428,-0.7341403270537303,0.08181857831432986
-0.004902946428571428,-0.7255199615295268,0.0838606190800556
-0.004901696428571428,-0.7193132983520975,0.0862429999734034
-0.004900446428571428,-0.7124170059327315,0.08828504073913007
-0.004899196428571428,-0.706210342755302,0.09032708150485677
-0.004897946428571429,-0.6989692357149712,0.09168844201534058
-0.004896696428571428,-0.6906936848117287,0.09373048278106788
-0.004895446428571429,-0.6851766508762385,0.09543218341917267
-0.004894196428571428,-0.6765562853520284,0.09713388405727902
-0.004892946428571428,-0.6703496221745955,0.0995162649506276
-0.004891696428571428,-0.6624188858923282,0.1012179655887324
-0.004890446428571428,-0.6534537057471524,0.1025793260992168
-0.004889196428571429,-0.6458677840858499,0.1053020471201857
-0.004887946428571428,-0.6396611209084205,0.105982727375428
-0.004886696428571429,-0.6331096431100258,0.1093861286516375
-0.004885446428571428,-0.6244892775858154,0.1097264687792602
-0.004884196428571428,-0.6165585413035412,0.1110878292897454
-0.004882946428571428,-0.6093174342632103,0.1127895299278502
-0.004881696428571428,-0.6010418833599678,0.1144912305659564
-0.004880446428571428,-0.5938007763196368,0.1158525910764402
-0.004879196428571428,-0.584835596174461,0.118234971969788
-0.004877946428571429,-0.576560045271222,0.1192559923526514
-0.004876696428571428,-0.5682844943679828,0.1202770127355147
-0.004875446428571429,-0.5617330165695881,0.1212980331183776
-0.004874196428571428,-0.5527678364244093,0.1233400738841048
-0.004872946428571428,-0.5448371001421344,0.1243610942669687
-0.004871696428571428,-0.5358719199969627,0.1257224547774526
-0.004870446428571428,-0.5272515544727515,0.1267434751603164
-0.004869196428571428,-0.5189760035695161,0.1277644955431792
-0.004867946428571428,-0.5113900819082136,0.1284451757984215
-0.004866696428571429,-0.5020800871420736,0.1304872165641472
-0.004865446428571428,-0.4941493508597987,0.1321889172022537
-0.004864196428571429,-0.4851841707146269,0.1335502777127375
-0.004862946428571428,-0.4765638051904154,0.1335502777127381
-0.004861696428571428,-0.4675986250452356,0.1342309579679807
-0.004860446428571428,-0.4586334449000639,0.1349116382232226
-0.004859196428571428,-0.4489786355129516,0.1369536789889493
-0.004857946428571428,-0.4420823430935856,0.1366133388613282
-0.004856696428571428,-0.4313930898435683,0.1379746993718126
-0.004855446428571429,-0.4234623535613011,0.1386553796270545
-0.004854196428571428,-0.41484198803709,0.1396764000099182
-0.004852946428571429,-0.4055319932709502,0.1396764000099182
-0.004851696428571428,-0.3962219985048019,0.1410377605204026
-0.004850446428571428,-0.3876016329805907,0.1413781006480239
-0.004849196428571428,-0.3793260820773553,0.1417184407756449
-0.004847946428571428,-0.3686368288273381,0.142058780903266
-0.004846696428571429,-0.3589820194402257,0.1423991210308871
-0.004845446428571428,-0.3513960977789231,0.1427394611585082
-0.004844196428571429,-0.3427757322547196,0.1434201414137501
-0.004842946428571428,-0.3338105521095399,0.1441008216689927
-0.004841696428571428,-0.3227764842385504,0.143760481541372
-0.004840446428571428,-0.3141561187143469,0.1447815019242349
-0.004839196428571428,-0.3031220508433574,0.1444411617966141
-0.004837946428571428,-0.2945016853191539,0.145121842051856
-0.004836696428571428,-0.2851916905530099,0.145121842051856
-0.004835446428571429,-0.2758816957868658,0.1444411617966138
-0.004834196428571428,-0.2662268863997534,0.1447815019242349
-0.004832946428571429,-0.2562272623916773,0.1458025223070978
-0.004831696428571428,-0.247262082246497,0.1454621821794771
-0.004830446428571428,-0.2369176436174443,0.1444411617966141
-0.004829196428571428,-0.2286420927142089,0.145121842051856
-0.004827946428571428,-0.2207113564319326,0.1444411617966136
-0.004826696428571428,-0.2086428446980476,0.1441008216689927
-0.004825446428571428,-0.1989880353109352,0.1437604815413716
-0.004824196428571429,-0.1893332259238273,0.1437604815413716
-0.004822946428571428,-0.1800232311576788,0.1434201414137504
-0.004821696428571429,-0.1703684217705709,0.1437604815413714
-0.004820446428571428,-0.1607136123834541,0.1417184407756449
-0.004819196428571428,-0.1503691737544008,0.1417184407756447
-0.004817946428571428,-0.1407143643672928,0.1413781006480238
-0.004816696428571428,-0.1314043696011488,0.1406974203927815
-0.004815446428571428,-0.1210599309720998,0.1400167401375393
-0.004814196428571428,-0.1117499362059558,0.1393360598822971
-0.004812946428571429,-0.1017503121978797,0.1386553796270552
-0.004811696428571428,-0.09244031743173105,0.1386553796270548
-0.004810446428571429,-0.08244069342365495,0.1369536789889501
-0.004809196428571428,-0.07278588403653805,0.1359326586060859
-0.004807946428571428,-0.0624414454074847,0.1349116382232226
-0.004806696428571428,-0.05278663602037674,0.1349116382232226
-0.004805446428571428,-0.04209738277035949,0.1342309579679804
-0.004804196428571429,-0.03140812952034224,0.1318485770746326
-0.004802946428571428,-0.02382220785903968,0.130146876436527
-0.004801696428571429,-0.01347776922999543,0.1291258560536641
-0.004800446428571428,-0.003478145221910076,0.1284451757984215
-0.004799196428571428,0.006521478786175437,0.1277644955431788
-0.004797946428571428,0.01721073203618783,0.1267434751603159
-0.004796696428571428,0.02617591218136782,0.1243610942669676
-0.004795446428571428,0.03548590694750764,0.1233400738841048
-0.004794196428571428,0.04617516019752489,0.1223190535012414
-0.004792946428571429,0.05582996958463724,0.120957692990757
-0.004791696428571428,0.06548477897174959,0.1189156522250303
-0.004790446428571429,0.0754844029798257,0.1168736114593045
